DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,rama4d_d,RAMA2D_D_R4,DSI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,DSCY,GWEB
5299967,1,3,1,85,1,,,1,338.8759893,85,2020,12,202012,70,2,48,1,2,3,8,3,2,1,,,,,,,,1,1,500000,877803,2,,,,,
5299971,1,3,1,73,1,4771,47,1,283.4513482,73,2020,12,202012,70,12,48,1,2,50,1,3,2,5,,,,,,,,1,2,,980000,2,,45,45,1,
5299979,1,3,1,52,1,4541,45,1,145.730727,52,2020,12,202012,70,30,40,1,2,52,1,5,2,8,,,,,,,,1,2,,1600000,2,,2,21,2,
5299980,1,1,1,68,1,8412,84,1,1035.754684,68,2020,12,202012,70,30,48,4,2,30,4,9,2,1,,,,,,,,1,2,,2000000,2,,39,39,2,
5300008,1,2,1,68,1,8610,86,1,2014.161923,68,2020,12,202012,70,42,48,1,2,43,1,8,2,7,,,,,,,,1,2,,900000,2,,59,59,2,
5300009,1,3,1,68,1,1521,15,1,570.9215438,68,2020,12,202012,70,2,50,1,2,2,1,4,2,8,,,,,,,,1,2,,900000,2,,59,80,1,
5300017,1,2,1,68,1,.,,1,1261.785553,68,2020,12,202012,70,8,48,1,1,,,,,,,,,,,,,,,,887000,,,45,,1,
5300021,1,4,1,54,1,4290,42,1,347.8821008,54,2020,12,202012,70,2,24,1,2,8,4,1,2,1,,,,,,,,1,2,,600000,2,,53,95,1,
5300024,1,1,1,73,1,9700,97,1,424.6933932,73,2020,12,202012,70,10,4,3,2,36,3,1,2,1,,,,,,,,1,2,,877803,2,,54,54,1,
5300046,1,2,1,63,1,4111,41,1,181.4432851,63,2020,12,202012,70,3,48,1,2,3,1,6,2,8,,,,,,,,1,1,920000,877803,2,,21,85,1,
5300051,1,2,1,63,1,8220,82,1,133.4918631,63,2020,12,202012,70,49,48,1,2,52,1,9,2,1,,,,,,,,1,2,,877803,2,,39,38,2,
5300062,1,3,1,44,1,8010,80,1,55.95991519,44,2020,12,202012,70,30,48,1,2,30,1,7,2,1,,,,,,,,1,2,,877300,2,,58,58,2,
5300078,1,2,1,47,1,4723,47,1,384.8125446,47,2020,12,202012,70,2,50,1,2,4,1,4,2,2,,,,,,,,1,2,,1000000,2,,77,77,1,
5300081,1,2,1,44,1,4210,42,1,89.76223265,44,2020,12,202012,70,52,48,1,2,520,1,9,2,2,,,,,,,,1,2,,1500000,2,,21,39,2,
5300083,1,2,1,44,1,5629,56,1,83.61088404,44,2020,12,202012,70,8,48,1,2,104,4,9,2,2,,,,,,,,1,2,,1500000,2,,19,19,1,
5300088,1,3,1,44,1,9511,95,1,51.90952412,44,2020,12,202012,70,28,48,4,2,28,4,1,2,1,,,,,,,,1,2,,877803,2,,3,3,2,
5300091,1,3,1,44,1,8610,86,1,69.01367524,44,2020,12,202012,70,20,48,1,2,25,1,9,2,1,,,,,,,,1,2,,2000000,2,,6,6,2,
5300094,1,4,1,23,1,9700,97,1,98.68093579,23,2020,12,202012,70,20,48,1,2,48,3,1,2,1,,,,,,,,1,2,,877803,2,,45,54,2,
5300101,1,2,1,18,1,4111,41,1,59.7668615,18,2020,12,202012,70,20,50,1,2,40,1,2,2,1,,,,,,,,1,2,,800000,2,,95,95,2,
5300102,1,3,1,18,1,4722,47,1,67.8976676,18,2020,12,202012,70,12,30,1,2,29,1,5,2,2,,,,,,,,1,2,,800000,2,,45,45,1,
5300105,1,2,1,18,1,.,,1,92.14268075,18,2020,12,202012,70,2,40,1,1,,,,,,,,,,,,,,,,800000,,,45,,1,
5300110,1,2,1,23,1,4921,49,1,246.2097736,23,2020,12,202012,70,5,48,1,2,34,4,1,2,2,,,,,,,,1,2,,877803,2,,98,98,1,
5300116,1,1,1,76,1,4923,49,1,1395.061024,76,2020,12,202012,70,8,40,1,2,36,1,2,2,9,,,,,,,,1,2,,877803,1,2,98,98,1,
5300121,1,2,1,76,1,4321,43,1,665.6287588,76,2020,12,202012,70,8,48,1,2,12,1,9,2,1,1,,,,,,,,2,,1500000,1,2,19,19,1,
5300130,1,1,1,88,1,8421,84,1,43.70462733,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300142,1,1,1,88,1,5511,55,1,60.6219414,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300143,1,1,1,88,1,5511,55,1,36.35508551,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300143,1,2,1,88,1,5511,55,1,36.35508551,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300144,1,4,1,88,1,4111,41,1,26.43922306,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300145,1,2,1,88,1,4771,47,1,62.87060942,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300146,1,2,1,88,1,5511,55,1,50.73132375,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300148,1,2,1,88,1,7911,79,1,42.59006582,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300160,2,2,2,54,1,3312,33,1,362.0462641,54,2020,12,202012,70,32,60,1,2,32,1,2,2,1,,,,,,,,1,2,,980000,2,,3,3,2,
5300171,1,2,1,68,1,1522,15,1,734.3061626,68,2020,12,202012,70,46,48,1,2,52,4,1,2,1,,,,,,,,1,2,,877803,2,,99,80,2,
5300175,1,1,1,54,1,4111,41,1,377.8685416,54,2020,12,202012,70,5,55,4,2,5,4,1,2,1,,,,,,,,1,2,,900000,2,,95,95,1,
5300176,1,2,1,54,1,4772,47,1,458.5000516,54,2020,12,202012,70,21,48,4,2,21,4,1,2,1,,,,,,,,1,2,,877800,2,,41,41,2,
5300177,1,1,1,54,1,4711,47,1,421.1612925,54,2020,12,202012,70,8,48,1,2,8,1,6,2,1,,,,,,,,1,2,,877800,2,,33,33,1,
5300184,1,2,1,17,1,8530,85,1,226.1433504,17,2020,12,202012,70,5,48,1,2,160,1,6,2,2,,,,,,,,1,2,,877802,2,,13,13,1,
5300185,1,2,1,17,1,5611,56,1,191.6265657,17,2020,12,202012,70,4,48,1,2,20,1,4,2,2,,,,,,,,1,2,,877802,2,,45,53,1,
5300186,1,1,1,17,1,8622,86,1,191.8502786,17,2020,12,202012,70,8,48,1,2,6,1,4,2,4,,,,,,,,1,2,,877802,2,,59,59,1,
5300191,1,2,1,50,1,.,,1,275.6135235,50,2020,12,202012,70,20,40,1,1,,,,,,,,,,,,,,,,900000,,,37,,2,
5300193,1,1,1,50,1,8422,84,1,419.2597509,50,2020,12,202012,70,112,48,1,2,112,2,9,2,1,,,,,,,,1,2,,1200000,3,,58,58,2,
5300201,1,2,1,50,1,.,,1,204.6599576,50,2020,12,202012,70,12,48,1,1,,,,,,,,,,,,,,,,877000,,,53,,1,
5300206,1,2,1,17,1,4921,49,1,198.4272765,17,2020,12,202012,70,20,50,1,2,20,1,1,2,1,,,,,,,,1,2,,900000,2,,98,98,2,
5300208,1,4,1,50,1,5611,56,1,127.3933266,50,2020,12,202012,70,13,30,1,2,44,1,8,2,1,,,,,,,,1,2,,880000,2,,59,33,1,
5300208,1,5,1,50,1,4111,41,1,127.3933266,50,2020,12,202012,70,8,48,1,2,12,1,2,2,1,,,,,,,,1,2,,900000,2,,95,95,1,
5300218,1,1,1,17,1,1521,15,1,240.0846157,17,2020,12,202012,70,48,48,1,2,48,1,9,2,1,1,,,,,,,,2,,877802,1,1,79,79,2,
5300222,1,4,1,17,1,2395,23,1,241.3162458,17,2020,12,202012,70,48,48,1,2,48,1,9,2,1,,,,,,,,1,2,,877802,2,,3,3,2,
5300233,1,1,1,27,1,8523,85,1,87.15160088,27,2020,12,202012,70,40,40,1,2,40,1,7,2,1,,,,,,,,1,2,,877803,2,,33,39,2,
5300234,1,4,1,27,1,4112,41,1,48.51437008,27,2020,12,202012,70,40,48,1,2,40,1,5,2,4,,,,,,,,1,2,,2000000,2,,2,2,2,
5300238,1,1,1,27,1,9499,94,1,88.13482245,27,2020,12,202012,70,26,40,4,2,86,4,1,2,1,,,,,,1,,,2,,1500000,2,,5,5,2,
5300242,1,3,1,41,1,1081,10,1,92.49012179,41,2020,12,202012,70,52,50,1,2,40,1,4,2,1,,,,,,,,1,2,,800000,2,,33,53,2,
5300263,1,1,1,19,1,4771,47,1,194.4459823,19,2020,12,202012,70,2,40,1,2,50,1,4,2,1,,,,,,,,1,2,,1000000,2,,45,45,1,
5300269,1,1,1,27,1,8424,84,1,113.3323223,27,2020,12,202012,70,4,48,4,2,16,1,9,2,1,,,,,,,,1,2,,3000000,2,,13,58,1,
5300271,1,1,1,54,1,5630,56,1,504.5571659,54,2020,12,202012,70,52,48,4,2,52,4,1,2,7,,,,,,,,1,2,,600000,2,,55,51,2,
5300272,1,2,1,54,1,8530,85,1,421.1612925,54,2020,12,202012,70,52,48,1,2,52,1,9,2,1,,,,,,,,1,2,,877803,2,,58,58,2,
5300280,1,3,1,19,1,.,,1,124.1708074,19,2020,12,202012,70,48,48,4,1,,,,,,,,,,,,,,,,98,,,5,,2,
5300284,1,1,1,54,1,4111,41,1,468.5012339,54,2020,12,202012,70,12,60,1,2,16,1,9,2,4,,,,,,,,1,2,,877803,2,,95,95,1,
5300287,1,4,1,17,1,5611,56,1,246.4650154,17,2020,12,202012,70,32,48,1,2,32,1,5,2,4,1,,,,,,,,2,,877802,1,4,53,53,2,
5300287,1,5,1,17,1,4330,43,1,246.4650154,17,2020,12,202012,70,4,48,4,2,4,4,1,2,1,,,,,,,,1,1,120000,877802,2,,93,93,1,
5300288,1,2,1,17,1,6190,61,1,170.0606722,17,2020,12,202012,70,144,48,2,2,144,1,9,2,1,,,,,,,,1,2,,877802,2,,34,38,2,
5300288,1,3,1,17,1,.,,1,170.0606722,17,2020,12,202012,70,192,48,1,1,,,,,,,,,,,,,,,,877802,,,32,,2,
5300292,1,1,1,,1,4112,41,1,2334.110571,76,2020,12,202012,70,6,50,4,2,16,1,5,2,1,,,,,,,,1,2,,700000,2,,95,95,1,
5300292,1,2,1,,1,9700,97,1,2334.110571,76,2020,12,202012,70,25,40,3,2,28,3,1,2,1,,,,,,,,1,2,,400000,2,,54,54,2,
5300294,1,2,1,,1,4520,45,1,2690.35792,76,2020,12,202012,70,8,48,4,2,8,4,1,2,1,,,,,,,,1,2,,900000,2,,95,99,1,
5300299,1,1,1,81,1,,,1,127.0187859,81,2020,12,202012,70,32,48,1,2,32,1,5,2,1,,,,,,,,1,2,,1200000,2,,,,,
5300300,1,2,1,81,1,,,1,268.2853114,81,2020,12,202012,70,4,48,4,2,4,4,1,2,1,,,,,,,,1,1,150000,600000,2,,,,,
5300312,1,3,1,68,1,.,,1,304.1792204,68,2020,12,202012,70,52,48,1,1,,,,,,,,,,,,,,,,878000,,,45,,2,
5300333,1,3,1,5,1,5629,56,1,1101.859669,5,2020,12,202012,70,16,48,2,2,24,1,9,2,2,,,,,,,,1,2,,1200000,2,,2,39,2,
5300335,1,1,1,5,1,9700,97,1,1376.608402,5,2020,12,202012,70,40,48,1,2,60,3,1,2,1,,,,,,,,1,2,,877803,2,,55,54,2,
5300336,1,2,1,5,1,1410,14,1,1365.283632,5,2020,12,202012,70,12,48,1,2,12,1,7,2,1,,,,,,,,1,2,,877803,2,,79,79,1,
5300341,1,5,1,76,1,4771,47,1,1477.009235,76,2020,12,202012,70,48,54,1,2,52,1,9,2,1,,,,,,,,1,2,,877807,2,,45,45,2,
5300345,1,1,1,76,1,8530,85,1,970.3913698,76,2020,12,202012,70,36,48,1,2,99,1,9,2,1,,,,,,,,1,2,,1000000,3,,13,13,2,
5300347,1,1,1,76,1,8010,80,1,654.2898038,76,2020,12,202012,70,32,48,1,2,32,1,9,2,4,,,,,,,,1,2,,1300000,2,,58,58,2,
5300349,1,1,1,76,1,5914,59,1,1221.387406,76,2020,12,202012,70,1,24,1,2,12,1,9,2,1,,,,,,,,1,2,,450000,2,,45,59,1,
5300351,1,1,1,76,1,4111,41,1,775.3112451,76,2020,12,202012,70,4,48,4,2,4,1,2,2,1,,,,,,1,,,1,200000,980000,2,,97,95,1,
5300358,1,4,1,68,1,1410,14,1,285.4607719,68,2020,12,202012,70,20,48,1,2,5,1,9,2,1,,,,,,,,1,2,,1200000,2,,79,79,2,
5300360,1,3,1,68,1,.,,1,367.830071,68,2020,12,202012,70,4,48,1,1,,,,,,,,,,,,,,,,900000,,,39,,1,
5300361,1,2,1,88,1,8413,84,1,66.18408839,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300367,1,2,1,88,1,5619,56,1,43.70462733,88,2020,12,202012,70,,,,,,,,,,,,,,,,,,,,,,,,,,
5300370,1,4,1,5,1,4711,47,1,572.0027945,5,2020,12,202012,70,4,48,4,2,3,1,3,2,2,,,,,,,,1,1,1150000,1000000,2,,98,45,1,
5300377,1,1,1,5,1,6820,68,1,1639.459797,5,2020,12,202012,70,24,48,1,2,24,1,4,2,1,,,,,,,,1,2,,1200000,2,,58,58,2,
5300378,1,2,1,8,1,4771,47,1,966.27978,8,2020,12,202012,70,20,48,1,2,18,1,4,2,1,,,,,,,,1,2,,1500000,2,,45,45,2,
5300383,1,1,1,63,1,8299,82,1,173.1887241,63,2020,12,202012,70,6,40,1,2,6,1,9,2,7,,,,,,,,1,2,,877803,2,,21,3,1,
5300390,1,4,1,8,1,8530,85,1,450.1713601,8,2020,12,202012,70,24,48,1,2,24,1,6,2,1,,,,,,,,1,2,,2000000,2,,13,13,2,
5300393,1,1,1,5,1,2592,25,1,1975.494332,5,2020,12,202012,70,4,48,1,2,4,1,2,2,1,,,,,,,,1,1,600000,877803,2,,87,87,1,
5300394,1,1,1,5,1,1410,14,1,2722.895772,5,2020,12,202012,70,12,48,1,2,32,1,5,2,1,,,,,,,,1,2,,877803,2,,79,79,1,
5300401,1,10,1,63,1,5630,56,1,297.732018,63,2020,12,202012,70,24,40,4,2,32,4,1,2,4,,,,,,,,1,2,,900000,2,,86,86,2,
5300402,1,2,1,63,1,4771,47,1,137.1903838,63,2020,12,202012,70,16,48,1,2,5,4,1,2,8,,,,,,,,1,2,,800000,2,,45,45,2,
5300409,1,2,1,63,1,4719,47,1,174.2062834,63,2020,12,202012,70,18,48,4,2,75,1,3,2,8,,,,,,,,1,2,,900000,2,,57,45,2,
5300409,1,4,1,63,1,9602,96,1,174.2062834,63,2020,12,202012,70,16,48,4,2,18,4,1,2,8,,,,,,,,1,2,,900000,2,,57,57,2,
5300425,1,2,1,41,1,9529,95,1,122.7528889,41,2020,12,202012,70,40,20,4,2,40,4,1,2,2,,,,,,,,1,2,,800000,2,,3,3,2,
5300430,1,1,1,54,1,5613,56,1,466.987946,54,2020,12,202012,70,4,48,1,2,8,1,2,2,1,,,,,,,,1,2,,700000,2,,45,45,1,
5300433,1,2,1,54,1,5619,56,1,426.8178976,54,2020,12,202012,70,6,48,1,2,6,4,1,2,4,,,,,,,,1,2,,980000,2,,45,53,1,
5300436,1,2,1,54,1,4781,47,1,458.5000516,54,2020,12,202012,70,52,48,1,2,52,4,1,2,8,,,,,,,,1,2,,400000,2,,45,45,2,
5300439,1,3,1,23,1,9511,95,1,98.68093579,23,2020,12,202012,70,40,48,1,2,40,1,6,2,1,,,,,,,,1,2,,877803,2,,3,3,2,
5300444,1,2,1,5,1,7020,70,1,877.9689464,5,2020,12,202012,70,156,48,1,2,150,1,5,2,4,,,,,,,,1,2,,1500000,2,,15,15,2,
5300451,1,4,1,15,1,1082,10,1,54.77116486,15,2020,12,202012,70,36,48,1,2,36,1,4,2,1,,,,,,,,1,2,,877803,2,,45,97,2,
5300452,1,2,1,15,1,8530,85,1,154.6639835,15,2020,12,202012,70,52,48,2,2,60,1,5,2,1,,,,,,,,1,2,,1200000,2,,13,13,2,
5300474,1,2,1,15,1,2511,25,1,54.77116486,15,2020,12,202012,70,36,40,1,2,36,1,2,2,7,,,,,,,,1,2,,877803,2,,83,83,2,
5300474,1,3,1,15,1,4290,42,1,54.77116486,15,2020,12,202012,70,24,48,1,2,24,1,5,2,7,,,,,,,,1,2,,1200000,2,,95,95,2,
5300490,1,3,1,23,1,8610,86,1,98.68093579,23,2020,12,202012,70,4,48,1,2,4,1,6,2,1,,,,,,,,1,1,877803,877803,2,,59,59,1,
5300491,1,2,1,23,1,4774,47,1,238.4999488,23,2020,12,202012,70,96,48,1,2,96,1,6,2,1,,,,,,,,1,2,,877803,2,,45,94,2,
5300497,1,3,1,17,1,4771,47,1,159.7882949,17,2020,12,202012,70,5,48,1,2,5,1,3,2,4,,,,,,,,1,2,,877802,2,,45,45,1,
5300497,1,4,1,17,1,5611,56,1,159.7882949,17,2020,12,202012,70,156,48,1,2,156,1,4,2,1,,,,,,,,1,2,,877802,2,,97,97,2,
5300499,1,1,1,17,1,8220,82,1,223.8385521,17,2020,12,202012,70,30,48,1,2,30,1,9,1,9,,,,,,,,1,2,,877802,1,1,38,38,2,
5300502,1,2,1,54,1,9499,94,1,513.8013032,54,2020,12,202012,70,32,40,4,2,34,4,9,2,4,1,,,,,,,,2,,2500000,1,1,19,19,2,
5300503,1,1,1,54,1,2392,23,1,435.6037045,54,2020,12,202012,70,24,48,1,2,24,1,9,1,1,,,,,,,,1,2,,2000000,2,,21,21,2,
5300504,1,1,1,54,1,8121,81,1,272.4470767,54,2020,12,202012,70,16,40,4,2,4,4,1,2,1,,,,,,,,1,1,99,1000000,2,,55,55,2,
5300504,1,2,1,54,1,5611,56,1,272.4470767,54,2020,12,202012,70,3,48,4,2,48,4,1,2,1,,,,,,,,1,2,,400000,2,,53,53,1,
5300504,1,4,1,54,1,5613,56,1,272.4470767,54,2020,12,202012,70,2,72,4,2,12,1,2,2,3,,,,,,,,1,2,,980000,2,,45,45,1,
5300505,1,5,1,54,1,3600,36,1,388.0047049,54,2020,12,202012,70,48,48,1,2,48,4,9,2,1,,,,,,,,1,2,,980000,2,,98,98,2,
5300506,1,1,1,47,1,5223,52,1,182.7455364,47,2020,12,202012,70,30,72,1,2,30,1,9,2,1,,,,,,,,1,2,,900000,2,,58,58,2,
5300508,1,4,1,47,1,4711,47,1,174.1049288,47,2020,12,202012,70,24,24,1,2,24,1,7,2,1,,,,,,,,1,2,,900000,2,,37,37,2,
5300512,1,1,1,52,1,4330,43,1,191.9153716,52,2020,12,202012,70,48,48,1,2,12,4,1,2,1,,,,,,,,1,2,,800000,2,,81,93,2,
5300515,1,2,1,15,1,4731,47,1,123.1227044,15,2020,12,202012,70,48,60,1,2,48,1,4,2,1,,,,,,,,1,2,,877802,2,,45,45,2,
5300516,1,1,1,15,1,9700,97,1,147.257648,15,2020,12,202012,70,48,50,3,2,48,3,1,2,1,,,,,,,,1,2,,877802,2,,54,54,2,
5300525,1,1,1,63,1,9700,97,1,126.9533769,63,2020,12,202012,70,16,48,1,2,28,3,1,2,3,,,,,,,,1,2,,500000,2,,53,59,2,
5300530,1,1,1,63,1,7010,70,1,173.9672346,63,2020,12,202012,70,12,48,1,2,12,1,9,2,2,,,,,,,,1,2,,877803,2,,33,33,1,
5300534,1,2,1,50,1,8422,84,1,210.2786259,50,2020,12,202012,70,16,48,1,2,16,1,9,2,2,,,,,,,,1,2,,900000,2,,39,39,2,
5300541,1,2,1,17,1,9602,96,1,152.5996512,17,2020,12,202012,70,12,48,1,2,28,4,4,2,4,,,,,,,,1,2,,877802,2,,57,57,1,
5300541,1,3,1,17,1,8544,85,1,152.5996512,17,2020,12,202012,70,8,48,1,2,8,1,9,2,4,,,,,,,,1,2,,1500000,2,,13,13,1,
5300549,1,5,1,15,1,9700,97,1,135.8042203,15,2020,12,202012,70,13,48,4,2,32,3,1,2,1,,,,,,,,1,2,,800000,2,,54,54,1,
5300553,1,1,1,41,1,8121,81,1,259.0443537,41,2020,12,202012,70,20,45,4,2,25,4,1,2,8,,,,,,,,1,2,,800000,2,,55,55,2,
5300555,1,1,1,41,1,6512,65,1,282.0424542,41,2020,12,202012,70,40,45,1,2,45,1,7,2,2,,,,,,,,1,2,,1500000,2,,32,32,2,
5300556,1,1,1,54,1,4771,47,1,458.6652281,54,2020,12,202012,70,8,48,1,2,8,4,1,2,1,,,,,,,,1,2,,1600000,2,,39,41,1,
5300562,1,3,1,54,1,5224,52,1,435.6727753,54,2020,12,202012,70,8,48,4,2,8,4,1,2,1,,,,,,,,1,2,,877800,2,,97,97,1,
5300562,1,4,1,54,1,4771,47,1,435.6727753,54,2020,12,202012,70,28,48,4,2,28,4,1,2,1,,,,,,,,1,2,,877800,2,,41,41,2,
5300566,1,2,1,52,1,9700,97,1,195.8800215,52,2020,12,202012,70,24,48,4,2,48,3,1,2,2,,,,,,,,1,2,,877803,2,,59,54,2,
5300569,1,2,1,23,1,5611,56,1,394.7237432,23,2020,12,202012,70,20,48,1,2,22,1,4,2,1,,,,,,,,1,2,,877803,2,,53,53,2,
5300578,1,2,1,15,1,5611,56,1,78.19293732,15,2020,12,202012,70,32,48,1,2,30,1,3,2,1,,,,,,,,1,2,,600000,2,,53,53,2,
5300582,1,3,1,68,1,145,1,1,498.1805051,68,2020,12,202012,70,12,48,1,2,20,1,9,2,3,,,,,,,,1,2,,878000,2,,95,62,1,
