DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,rama4d_d,MES,DPTO,fex_c_2011
4489794,1,3,1,70,5,16,72,4,,2,16,4,,1,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,98,98,60,1,2,6031,12,5,1188.739043
4489796,1,3,1,70,5,2,48,1,,2,48,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,850000,2,1.79769313486232e+308,45,33,93,1,1,9303,12,5,1128.084425
4489806,1,1,1,70,5,2,48,1,,2,2,1,,4,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1200000,2,1.79769313486232e+308,13,13,80,1,1,8011,12,5,1273.92167
4489810,1,2,1,70,5,48,48,1,,2,32,3,,1,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1300000,2,1.79769313486232e+308,59,59,95,1,2,9500,12,5,1396.796261
4489815,1,2,1,70,5,3,48,4,,2,32,4,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,15,15,1,1,1,112,12,5,1013.191197
4489821,1,1,1,70,5,4,48,1,,2,4,1,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,990000,1000000,2,1.79769313486232e+308,40,97,15,1,1,1551,12,5,1192.827228
4489833,1,2,1,70,5,8,48,1,,2,8,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,76,95,45,1,1,4521,12,5,992.6263427
4489838,1,2,1,70,5,3,48,1,,2,1,1,,7,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,250000,737700,2,1.79769313486232e+308,58,59,74,1,1,7499,12,5,1221.248416
4489846,1,2,1,70,5,3,48,1,,2,3,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,737717,1000000,2,1.79769313486232e+308,79,79,18,1,1,1810,12,5,1013.191197
4489857,1,2,1,70,5,4,48,1,,2,4,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,500000,737717,2,1.79769313486232e+308,79,79,52,1,1,5271,12,5,1052.690416
4489858,1,1,1,70,5,20,48,1,,2,20,1,,7,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,32,32,45,1,2,4521,12,5,1180.757679
4489870,1,4,1,70,5,12,48,1,,2,12,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1200000,2,1.79769313486232e+308,39,39,15,1,1,1561,12,5,1134.061524
4489891,1,2,1,70,5,6,48,4,,2,6,4,,1,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,93,93,45,1,1,4552,12,5,1213.857597
4489915,1,2,1,70,5,4,25,4,,2,4,4,,1,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,30000,737700,2,1.79769313486232e+308,57,57,93,1,1,9302,12,5,1435.322205
4489926,1,1,1,70,5,2,48,1,,2,2,1,,5,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,177000,737717,2,1.79769313486232e+308,79,55,80,1,1,8042,12,5,1016.585664
4489936,1,2,1,70,5,8,48,1,,2,52,1,,3,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737700,2,1.79769313486232e+308,97,53,55,1,1,5530,12,5,1396.796261
4489956,1,3,1,70,13,26,48,1,,2,26,1,,6,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,30,30,52,1,2,5233,12,13,397.0014895
4489956,1,7,1,70,13,26,48,1,,2,26,1,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,2000000,2,1.79769313486232e+308,19,19,52,1,2,5211,12,13,397.0014895
4489960,1,1,1,70,13,12,40,1,,2,8,1,,7,2,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,200000,1000000,2,1.79769313486232e+308,13,13,80,1,1,8041,12,13,353.1065291
4489974,1,2,1,70,13,52,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1500000,1.79769313486232e+308,1.79769313486232e+308,39,,,1,2,,12,13,379.6400825
4489978,1,2,1,70,13,26,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2000000,1.79769313486232e+308,1.79769313486232e+308,13,,,1,2,,12,13,394.8741632
4489986,1,2,1,70,13,40,50,1,,2,52,3,,1,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,700000,2,1.79769313486232e+308,53,54,95,1,2,9500,12,13,366.7557643
4490117,1,3,1,70,17,6,48,1,,2,8,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,44,44,75,1,1,7530,12,17,155.4295479
4490119,1,3,1,70,17,8,48,1,,2,8,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,38,38,74,1,1,7499,12,17,145.2170331
4490120,1,3,1,70,17,16,48,1,,2,16,1,,3,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,38,53,55,1,2,5521,12,17,151.8782329
4490121,1,2,1,70,17,20,20,1,,2,20,1,,8,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,38,97,15,1,2,1530,12,17,183.5479796
4490121,1,3,1,70,17,2,48,1,,2,2,1,,7,2,1,,,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1,737717,737717,1,1,80,80,19,1,1,1929,12,17,183.5479796
4490124,1,4,1,70,17,12,50,1,,2,12,1,,5,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,98,98,52,1,1,5235,12,17,163.0938704
4490125,1,1,1,70,17,104,24,1,,2,4,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,400000,737717,2,1.79769313486232e+308,34,95,45,1,2,4552,12,17,285.6857646
4490130,1,1,1,70,17,4,60,4,,2,4,5,,2,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,95,95,45,1,1,4521,12,17,285.6857646
4490133,1,3,1,70,17,5,24,4,,2,24,1,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,54,79,18,1,1,1810,12,17,133.7005951
4490133,1,5,1,70,17,4,48,1,,2,52,1,,4,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,32,33,52,1,1,5233,12,17,133.7005951
4490134,1,1,1,70,17,12,48,1,,2,12,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,34,32,85,1,1,8511,12,17,231.3759032
4490134,1,4,1,70,17,12,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1000000,1.79769313486232e+308,1.79769313486232e+308,59,,,1,1,,12,17,231.3759032
4490148,1,1,1,70,17,4,40,2,,2,4,4,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,970000,1500000,2,1.79769313486232e+308,13,13,80,1,1,8050,12,17,205.1901079
4490158,1,4,1,70,17,4,16,1,,2,52,1,,3,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,45,52,1,1,5233,12,17,257.4522421
4490159,1,2,1,70,17,20,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,737717,1.79769313486232e+308,1.79769313486232e+308,34,,,1,2,,12,17,188.834873
4490160,1,3,1,70,17,24,48,1,,2,24,4,,9,1,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1600000,2,1.79769313486232e+308,8,8,40,1,2,4010,12,17,175.3844953
4490162,1,2,1,70,17,2,48,1,,2,20,1,,3,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,45,52,1,1,5234,12,17,184.5093712
4490163,1,3,1,70,17,6,48,1,,2,6,1,,3,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,32,32,70,1,1,7020,12,17,113.5472865
4490171,1,3,1,70,17,102,48,1,,2,100,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,33,33,85,1,2,8511,12,17,158.6674109
4490181,1,2,1,70,17,259,48,1,,2,288,1,,3,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,19,79,18,1,2,1810,12,17,167.7201728
4490183,1,2,1,70,17,12,60,1,,2,98,1,,2,2,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,98,98,60,1,1,6042,12,17,197.0124904
4490186,1,2,1,70,17,96,48,1,,2,96,1,,4,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,45,52,1,2,5231,12,17,177.7619243
4490190,1,3,1,70,17,24,24,1,,2,76,1,,9,2,1,,,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,2,1.79769313486232e+308,737717,1,2,32,32,65,1,2,6596,12,17,172.2187463
4490192,1,6,1,70,17,4,48,1,,2,48,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,97,53,55,1,1,5521,12,17,237.5768443
4490194,1,1,1,70,17,98,48,1,,2,99,1,,9,2,3,,,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,2,1.79769313486232e+308,7000000,1,2,1,1,11,1,2,1110,12,17,240.3694385
4490195,1,2,1,70,17,8,48,1,,2,8,1,,6,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1200000,2,1.79769313486232e+308,16,16,74,1,1,7430,12,17,197.0124904
4490207,1,2,1,70,17,24,48,1,,2,24,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,98,98,60,1,2,6042,12,17,183.5621127
4490224,1,4,1,70,17,52,60,3,,2,52,4,,1,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,54,45,51,1,2,5155,12,17,149.542535
4490240,1,2,1,70,17,12,48,1,,2,12,1,,2,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,34,60,1,1,1,111,12,17,156.2899819
4490250,1,2,1,70,17,4,45,1,,2,4,1,,7,2,3,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,1400000,1400000,2,1.79769313486232e+308,19,19,80,1,1,8043,12,17,152.8396246
4490268,1,2,1,70,17,4,25,1,,2,24,1,,4,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,45,52,1,1,5233,12,17,166.8032973
4490269,1,1,1,70,17,24,48,1,,2,24,1,,2,2,5,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,3,5,80,1,2,8060,12,17,205.1901079
4490270,1,1,1,70,17,4,20,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,800000,1.79769313486232e+308,1.79769313486232e+308,53,,,1,1,,12,17,182.6452372
4490436,1,2,1,70,23,4,48,1,,2,4,1,,8,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,32,32,85,1,1,8532,12,23,74.74997731
4490440,1,3,1,70,23,3,40,1,,2,3,1,,4,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,600000,2,1.79769313486232e+308,53,53,55,1,1,5530,12,23,99.6573111
4490443,1,2,1,70,23,32,48,1,,2,32,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,59,41,52,1,2,5211,12,23,145.8256445
4490447,1,1,1,70,23,4,48,1,,2,4,1,,8,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,58,55,10,1,1,1010,12,23,113.6580694
4490457,1,5,1,70,23,4,48,1,,2,52,3,,1,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,54,95,1,1,9500,12,23,220.4384385
4490458,1,2,1,70,23,48,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,737717,1.79769313486232e+308,1.79769313486232e+308,13,,,1,2,,12,23,120.453796
4490460,1,3,1,70,23,32,48,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300000,1.79769313486232e+308,1.79769313486232e+308,45,,,1,2,,12,23,180.4543174
4490465,1,2,1,70,23,6,40,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,700000,1.79769313486232e+308,1.79769313486232e+308,45,,,1,1,,12,23,144.3527139
4490470,1,3,1,70,23,8,48,1,,2,8,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,55,55,85,1,1,8511,12,23,104.7400103
4490482,1,2,1,70,23,240,48,1,,2,240,1,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,13,13,80,1,2,8043,12,23,119.3203783
4490484,1,2,1,70,23,6,48,1,,2,12,1,,8,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,750000,2,1.79769313486232e+308,59,59,85,1,1,8514,12,23,154.739631
4490486,1,3,1,70,23,3,30,1,,1,1.79769313486232e+308,1.79769313486232e+308,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,.,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,600000,1.79769313486232e+308,1.79769313486232e+308,45,,,1,1,,12,23,211.7181022
4490488,1,2,1,70,23,6,40,1,,2,44,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,45,45,52,1,1,5219,12,23,270.8148333
4490748,1,3,1,70,50,2,48,1,,2,3,1,,3,2,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,500000,800000,2,1.79769313486232e+308,39,97,64,1,1,6412,12,50,350.5494234
4490755,1,1,1,70,50,8,50,4,,2,8,4,,1,2,3,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,98,98,60,1,1,6042,12,50,335.3921542
4490758,1,3,1,70,50,36,48,1,,2,18,1,,6,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,2000000,2,1.79769313486232e+308,2,2,45,1,2,4530,12,50,230.3388709
4490769,1,1,1,70,50,3,48,1,,2,12,1,,3,2,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,55,55,55,1,1,5511,12,50,199.618493
4490769,1,3,1,70,50,8,48,1,,2,4,1,,2,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,58,83,28,1,1,2811,12,50,199.618493
4490771,1,2,1,70,50,4,48,1,,2,4,1,,5,2,7,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,850000,2,1.79769313486232e+308,39,39,51,1,1,5127,12,50,363.4350586
4490775,1,1,1,70,50,3,48,1,,2,4,1,,6,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,930000,1300000,2,1.79769313486232e+308,58,58,74,1,1,7492,12,50,304.7291006
4490781,1,1,1,70,50,8,48,1,,2,12,1,,3,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,33,39,55,1,1,5511,12,50,260.7477947
4490784,1,1,1,70,50,12,48,1,,2,12,1,,8,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,95,95,45,1,1,4522,12,50,328.4326269
4490794,1,1,1,70,50,25,24,1,,2,25,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,45,45,15,1,2,1551,12,50,366.5809413
