DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OCI,OFICIO,RAMA2D,RAMA2DP8,P6430,P6420S1,RAMA4D,RAMA4DP8,INGLABO,DPTO,fex_c_2011
978431,1,1,1,60,66,2,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,250000,1,,3,,12,50,,.,50,,,1,9,13,1,14,19,2,,,1,1,,2,,,,1,,,,,,,,1,,2,1,120,1,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,1,80,52,,4,,5271,,250000,66,270.8372702
978434,1,2,1,60,66,1,1,,,1,1,,2,2,2,180,,1,,460000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,60,,.,60,,,1,5,12,1,13,17,2,,,2,7,,2,,,,1,,,,,,,,1,,2,1,60,1,,2,,,,,12,,,,,,,,,,,,,2,2,2,,,,2,,,5,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,58,70,,1,,7020,,460000,66,288.4009282
978435,1,1,1,60,66,1,2,1,,1,1,,2,1,1,4,,1,,600000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,60,,.,60,,,1,7,12,1,13,17,2,,,8,9,,1,1,1,12,1,1,,,,,,,,,1,1,9,1,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,1,70,45,,1,,4521,,600000,66,301.5690269
978437,1,1,1,60,66,2,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,2,,21,,,1,8,11,2,,,,,,2,7,,3,,,,,,,,,,,,,,2,1,12,4,,2,,,,,6,,,,,,,,,,,,,,2,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,10,LA PENSION,1,39,74,,6,,7499,,,66,25.09554836
978437,1,3,1,60,66,2,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1500000,1,,3,,11,40,,.,40,,,1,8,12,1,14,18,2,,,2,7,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,1,2008,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,39,74,,5,,7499,,1500000,66,25.09554836
978438,1,1,1,60,66,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,250000,1,,1,,10,40,,.,40,,,2,,,,,,,,,1,1,,2,,,,1,1,,,,,,,,,2,1,12,1,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,,1,81,36,,4,,3611,,250000,66,228.9835777
978438,1,3,1,60,66,2,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,900000,1,,3,,12,84,,.,84,,,1,10,22,2,,,,,,1,1,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,2,,1,21,64,,4,,6421,,900000,66,228.9835777
978438,1,4,1,60,66,1,1,,,1,1,,2,2,2,120,,1,,450000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,60,,.,60,,,2,,,,,,,,,2,7,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,11,,,,2,,,,1,1,1,1,1,1,2,2,2,2,2,,2,2,,3,3,3,3,3,3,2,2,3,9,,1,84,50,,1,,5020,,450000,66,228.9835777
978438,1,6,1,60,66,1,1,,,1,2,,2,2,2,48,,1,,400000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,60,,.,60,,,2,,,,,,,,,4,7,,2,,,,1,,,,,,,,1,,2,2,,,,1,30,6,,,,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,1,1,1,2,2,2,2,2,2,,2,1,,3,2,2,3,3,2,2,3,3,9,,1,90,25,,1,,2521,,400000,66,228.9835777
978439,1,1,1,60,66,1,2,1,,2,1,,1,1,1,18,,3,,461500,2,,,2,,2,,2,,2,,,55000,15000,,2,1,,1,1,,2,2,2,,,,1,,232000,232000,,2,1,2,2,,,,,,,,,,,12,54,,.,54,,,2,,,,,,,,,5,7,,1,2,1,1,1,1,,,,,,,,,1,1,2,1,,2,,,,,0,2,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,9,,1,77,15,74,1,7491,1581,7491,461500,66,264.455864
978439,1,2,1,60,66,1,1,,,1,1,,1,2,2,18,,1,,461500,2,,,2,,2,,2,,2,,,,15000,,2,,,2,1,,2,2,2,,,,2,,,232000,,2,1,2,2,,,,,,,,,,,12,54,,.,54,,,2,,,,,,,,,5,7,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,97,15,,1,,1581,,461500,66,264.455864
978441,1,1,1,60,66,1,2,1,,1,1,,1,1,1,24,,2,,1817962,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,920000,1817962,2,1,1,2,,,,,,,,,,,12,40,,.,40,,,2,,,,,,,,,9,7,,1,1,1,5,1,1,,,,,,,,,1,1,120,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,2,41,,2,,4100,,1817962,66,261.8825478
978441,1,2,1,60,66,1,1,,,1,1,,2,2,2,5,,1,,,2,,,2,,2,,2,,2,,,60000,,,,2,,1,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,,,,,,,12,40,,.,40,,,2,,,,,,,,,3,7,,2,,,,1,,,,,,,,1,,2,1,120,1,,2,,,,,24,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,21,74,,1,,7421,,,66,261.8825478
978442,1,3,1,60,66,1,2,2,12,1,1,,1,1,1,24,,1,,461500,2,,,2,,2,,2,,2,,,55000,,,,1,,1,2,,2,2,2,,,,2,,,232000,,2,1,2,2,,,,,,,,,,,12,54,,.,54,,,2,,,,,,,,,9,7,,1,1,1,2,1,1,,,,,,,,,1,1,5,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,,1,90,25,,1,,2529,,461500,66,21.66156667
978443,1,1,1,60,66,2,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1500000,1,,3,,12,90,,.,90,,,1,7,19,2,,,,,,2,7,,2,,,,1,,,,,,,,1,,2,1,72,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,1,,1,2008,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,,1,99,50,,5,,5020,,1500000,66,280.0018269
978443,1,2,1,60,66,2,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,2,,30,,,2,,,,,,,,,2,7,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,1,40,50,,6,,5020,,,66,280.0018269
