DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,RAMA4D_D_R4,RAMA2D_D_R4,DSI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,DSCY,GWEB
5299788,1,2,1,68,1,4759,47,1,534.95072572,68,2020,12,202012,70,8,48,1,2,36,4,1,2,7,,,,,,,,1,2,,877804,2,,45,41,1,
5299815,1,2,1,19,1,8511,85,1,108.60418914,19,2020,12,202012,70,48,48,1,2,48,1,4,2,1,,,,,,,,1,2,,980000,2,,13,13,2,
5299816,1,2,1,19,1,4520,45,1,123.87847681,19,2020,12,202012,70,96,48,1,2,95,1,4,2,1,,,,,,,,1,2,,600000,2,,99,99,2,
5299817,1,2,1,19,1,1410,14,1,180.49986953,19,2020,12,202012,70,36,40,1,2,36,1,4,2,1,,,,,,,,1,2,,800000,2,,79,79,2,
5299819,1,2,1,19,1,4741,47,1,70.498516763,19,2020,12,202012,70,96,48,1,2,96,1,3,2,1,,,,,,,,1,2,,980000,2,,45,45,2,
5299819,1,3,1,19,1,.,,1,70.498516763,19,2020,12,202012,70,48,48,1,1,,,,,,,,,,,,,,,,980000,,,45,,2,
5299820,1,1,1,19,1,8530,85,1,160.82974746,19,2020,12,202012,70,96,48,1,2,96,2,9,2,1,,,,,,,,1,2,,980000,2,,13,13,2,
5299823,1,3,1,19,1,8542,85,1,148.81612725,19,2020,12,202012,70,48,40,1,2,48,1,7,2,1,,,,,,,,1,2,,750000,2,,03,13,2,
5299825,1,2,1,81,1,,,1,111.42592593,81,2020,12,202012,70,36,48,1,2,36,1,4,2,1,,,,,,,,1,2,,877000,2,,,,,
5299836,1,2,1,05,1,5619,56,1,2462.8105555,05,2020,12,202012,70,12,48,1,2,60,1,2,2,1,,,,,,,,1,2,,877800,2,,45,45,1,
5299853,1,2,1,76,1,4923,49,1,746.78250607,76,2020,12,202012,70,28,48,1,2,36,1,6,2,1,,,,,,,,1,2,,877807,2,,45,97,2,
5299861,1,3,1,44,1,1011,10,1,48.796626988,44,2020,12,202012,70,96,48,4,2,48,4,2,2,1,,,,,,,,1,2,,850000,2,,95,77,2,
5299862,1,6,1,44,1,8010,80,1,34.259531465,44,2020,12,202012,70,48,48,1,2,192,1,7,2,1,,,,,,,,1,2,,700000,2,,58,58,2,
